titulo,descricao,fonte,data_publicacao,regiao,query_busca
"Brasileiros se unem para defender 'Pix amado' de ataques de Trump, diz Financial Times",Pix é alvo de investigações dos EUA contra supostas práticas comerciais ilegais do Brasil.,BBC News,2025-07-22T09:36:37Z,Pernambuco,"""Lula"" AND Brasil"
"Brasil quer ampliar comércio com Indonésia incluindo carne bovina, aviação civil e defesa, diz Lula",O presidente Luiz Inácio Lula da Silva disse nesta quarta-feira que o Brasil deseja diversificar ...,Terra.com.br,2025-07-09T16:19:11Z,Pernambuco,"""Lula"" AND Brasil"
"Lula diz em pronunciamento que tarifa anunciada por Trump é ""chantagem inaceitável""",O presidente Luiz Inácio Lula da Silva disse nesta quinta-feira que o Brasil sempre esteve ...,Terra.com.br,2025-07-17T23:54:06Z,Pernambuco,"""Lula"" AND Brasil"
"""No es un gringo quien va a dar órdenes a este presidente"": Lula eleva el discurso contra Trump","Sostuvo que hará ""respetar"" a Brasil en medio de la guerra arancelaria de EE.UU.",RT,2025-07-17T18:39:54Z,Pernambuco,"""Lula"" AND Brasil"
Lula anuncia pronunciamento sobre tarifaço de Trump,Presidente 'ilustrou' o comunicado com o slogan 'Brasil soberano',Abril.com.br,2025-07-17T20:07:11Z,Pernambuco,"""Lula"" AND Brasil"
Eduardo: Moraes tenta humilhar Bolsonaro e desafia Trump abertamente,Deputado diz que ação acontece na esteira do anúncio de Donald Trump de impor sanções tarifárias ao Brasil,Abril.com.br,2025-07-18T15:11:32Z,Pernambuco,"""Lula"" AND Brasil"
Embaixada dos EUA fala em ‘ataques’ a Bolsonaro e diz que acompanha situação ‘de perto’,"'As declarações do presidente Trump são claras', diz o texto",Abril.com.br,2025-07-15T00:36:22Z,Pernambuco,"""Lula"" AND Brasil"
Lula diz que governo vai 'cobrar imposto das empresas americanas digitais',"O presidente Luiz Inácio Lula da Silva disse nesta quinta-feira, 17, que o Brasil vai ""cobrar ...",Terra.com.br,2025-07-17T19:41:10Z,Pernambuco,"""Lula"" AND Brasil"
"Lula: 'Se empresário achar que temos de fazer o que EUA querem, não tem orgulho de ser brasileiro'",BRASÍLIA - O presidente Luiz Inácio Lula da Silva voltou a repetir que o Brasil usará a lei da ...,Terra.com.br,2025-07-11T00:21:13Z,Pernambuco,"""Lula"" AND Brasil"
"Nos Brics, Lula critica Otan e diz que 'temor de catástrofe nuclear' voltou",Comentário vem depois de Trump declarar que aumento de gastos com defesa foi 'grande vitória',BBC News,2025-07-06T15:16:03Z,Pernambuco,"""Lula"" AND Brasil"
O que esperar após Trump anunciar nova tarifa sobre produtos brasileiros: 'O Brasil não tem sido bom para nós',"Tensão entre EUA e Brasil cresceu nos últimos dias, após presidente americano anunciar apoio a Bolsonaro e criticar a Justiça brasileira. Agora, Trump promete nova tarifa aos produtos vindos do Brasil",BBC News,2025-07-09T18:54:41Z,Pernambuco,"""Lula"" AND Brasil"
[Coluna] Nem Trump nem Lula querem acabar com essa briga,"Tensão comercial e diplomática entre Brasil e EUA serve a ambos os presidentes, mas economia ...",Terra.com.br,2025-07-23T11:25:45Z,Pernambuco,"""Lula"" AND Brasil"
"A reação do agronegócio, amigo de Bolsonaro, às tarifas de Trump","O Brasil deve ter uma 'resposta firme e estratégica' à decisão do presidente dos Estados Unidos, Donald Trump, de impor taxa de 50% sobre as exportações brasileiras, na avaliação da Frente Parlamentar da Agropecuária (FPA).",BBC News,2025-07-10T15:29:23Z,Pernambuco,"""Lula"" AND Brasil"
Lula e lideres progressistas selam aliança em defesa da democracia,"Chefes de Estado e de governo do Chile, Brasil, Espanha, Colômbia e Uruguai se unem para debater ...",Terra.com.br,2025-07-21T22:01:13Z,Pernambuco,"""Lula"" AND Brasil"
As acusações que motivaram investigação comercial do governo Trump contra o Brasil,Apuração já havia sido ordenada por Trump em carta anunciando tarifas de 50% e foi confirmada nesta terça-feira (15/07).,BBC News,2025-07-16T13:01:15Z,Pernambuco,"""Lula"" AND Brasil"
"'Tarifa de Trump não afeta em nada apoio de Jair Bolsonaro entre eleitores fiéis', diz pesquisadora","Para Rosana Pinheiro-Machado, discurso que explora patriotismo e defesa da soberania nacional não convence apoiadores mais radicalizados do ex-presidente e seus aliados.",BBC News,2025-07-14T18:08:05Z,Pernambuco,"""Lula"" AND Brasil"
Tarcísio diz que tarifas terão impacto 'negativo' para SP e defende negociação sem 'revanchismo',"Para governador, medida anunciada por Trump afeta diretamente empresas como a Embraer; ele criticou distanciamento diplomático entre Brasil e EUA durante o governo Lula",Terra.com.br,2025-07-10T16:41:11Z,Pernambuco,"""Lula"" AND Brasil"
Lula propõe Dia da Consolidação da Independência,"Presidente do Brasil justifica decisão com o facto de a data ""marcar a expulsão definitiva das tropas portuguesas do Brasil, em 1823"". ""É um reconhecimento histórico"", considera.",Observador.pt,2025-07-02T19:23:36Z,Pernambuco,"""Lula"" AND Brasil"
'Intimidação' e 'arbitrária': a resposta de Lula a sanção dos EUA contra Moraes,Governo americano cancelou visto do ministro do STF em resposta a medidas de Moraes contra Jair Bolsonaro na sexta-feira.,BBC News,2025-07-19T14:02:36Z,Pernambuco,"""Lula"" AND Brasil"
Lula exalta sua honestidade e vira assunto: 'Preço por ser honesto',"Presidente do Brasil Luiz Inácio Lula da Silva volta a defender o ministro da Fazenda, Fernando Haddad, e fala sobre honestidade",Terra.com.br,2025-07-01T19:43:28Z,Pernambuco,"""Lula"" AND Brasil"
'Censura prévia' x 'medida prudente': advogados divergem sobre decisão de Moraes que veta Bolsonaro nas redes,Proibição da veiculação de entrevistas ou declarações do ex-presidente em redes sociais dele ou de terceiros divide opiniões entre especialistas do direito e suscita comparações com situação de Lula quando esteve preso,BBC News,2025-07-22T00:08:00Z,Pernambuco,"""Lula"" AND Brasil"
Quaest: 44% dos brasileiros temem volta de Bolsonaro; 41% receiam continuidade de Lula,A percepção do eleitor sobre o futuro político do Brasil segue praticamente inalterada. ...,Terra.com.br,2025-07-17T12:02:09Z,Pernambuco,"""Lula"" AND Brasil"
Lula posta foto com boné 'Brasil é dos brasileiros' em meio a embate tarifário com Trump,O presidente Luiz Inácio Lula da Silva (PT) publicou uma foto em seu perfil no X (antigo ...,Terra.com.br,2025-07-11T14:53:10Z,Pernambuco,"""Lula"" AND Brasil"
"Brasil negocia acordo bilateral com os EUA, diz Haddad","""Tem uma equipe do presidente Lula sentada à mesa com o governo americano tratando do nosso acordo bilateral"", afirmou Haddad nesta terça-feira",Abril.com.br,2025-07-08T13:18:20Z,Pernambuco,"""Lula"" AND Brasil"
O Brasil tem o maior Congresso do mundo? Compare com outros países!,País poderá ter 612 parlamentares após as eleições de 2026; Lula ainda não sancionou ou vetou o projeto de lei,Terra.com.br,2025-07-02T07:59:33Z,Pernambuco,"""Lula"" AND Brasil"
Quaest: 72% dos brasileiros dizem que Trump erra ao taxar Brasil alegando perseguição a Bolsonaro,Maioria dos entrevistados considera taxação dos EUA injusta e concorda que Lula tem o direito de retaliar,Terra.com.br,2025-07-16T10:11:14Z,Pernambuco,"""Lula"" AND Brasil"
"Em evento oficial, lula usa boné 'Brasil é dos brasileiros' e ataca Bolsonaro e filho","O presidente Luiz Inácio Lula da Silva usou nesta sexta-feira, 11, um evento oficial para fazer ...",Terra.com.br,2025-07-12T10:50:10Z,Pernambuco,"""Lula"" AND Brasil"
A aposta improvável de Lula no México e a aproximação entre Trump e China,VEJA Mercado debate às 10h a nova estratégia comercial do Brasil e o aceno de Trump à China diante do silêncio em relação ao Brasil,Abril.com.br,2025-07-24T11:00:34Z,Pernambuco,"""Lula"" AND Brasil"
O que diz nova carta de Trump a Bolsonaro,"A mensagem foi publicada por Trump em sua rede social, o Truth Social, e reforça o discurso de que Bolsonaro estaria sendo vítima de perseguição judicial",BBC News,2025-07-18T10:00:24Z,Pernambuco,"""Lula"" AND Brasil"
"Brasil responderá com reciprocidade às tarifas de Trump, diz Lula",Lei sancionada em abril autoriza o governo federal a adotar ‘contramedida’ na forma de restrição às importações de bens e serviços,Abril.com.br,2025-07-09T23:15:17Z,Pernambuco,"""Lula"" AND Brasil"
Nova pesquisa revela vitória de Lula e que população apoia reação a Trump,Levantamento revela ainda aumento na popularidade do presidente Lula,Abril.com.br,2025-07-15T17:37:51Z,Pernambuco,"""Lula"" AND Brasil"
Lula defende o pix e ataca 'traidores da pátria' em pronunciamento; leia a íntegra,"O presidente Luiz Inácio Lula da Silva disse, em pronunciamento em rede nacional de TV nesta ...",Terra.com.br,2025-07-17T23:42:46Z,Pernambuco,"""Lula"" AND Brasil"
Lula volta a rejeitar criticas de Trump,"O Presidente do Brasil, Lula da Silva, voltou a defender mudanças nos órgãos multilaterais globais e afirmou considerar inaceitável que o Brasil e a Índia não estejam na composição permanente da ONU.",Observador.pt,2025-07-08T20:27:37Z,Pernambuco,"""Lula"" AND Brasil"
Lula rebate post de Trump sobre Bolsonaro: ‘não aceitamos interferência’,Nota divulgada pelo petista diz que a democracia no Brasil 'é um tema que compete aos brasileiros',Abril.com.br,2025-07-07T16:32:39Z,Pernambuco,"""Lula"" AND Brasil"
"Tarifas de Trump são 'megalomaníacas' e não afetam tanto quanto ele espera o Brasil, diz Nobel de Economia","Para Paul Krugman, anúncio de Trump não tem qualquer justificativa econômica, serve apenas como um 'programa de proteção a ditadores' e não vai ter grandes efeitos práticos, já que EUA não são principal parceiro comercial do Brasil.",BBC News,2025-07-10T08:17:55Z,Pernambuco,"""Lula"" AND Brasil"
Frase do dia: Lula,Presidente da República,Abril.com.br,2025-07-18T12:22:54Z,Pernambuco,"""Lula"" AND Brasil"
"'Quem valoriza São Paulo não apoia medidas absurdas', diz Rui Costa sobre postura de Tarcísio frente a Trump","Na quarta-feira (9), Tarcísio de Freitas atribuiu a tarifa de 50% imposta por Trump ao Brasil a atitudes do governo Lula (PT); ele evitou criticar o presidente dos EUA",Globo,2025-07-10T15:14:08Z,Pernambuco,"""Lula"" AND Brasil"
Trump fez Lula great again,Sanções americanas impulsionam a campanha da reeleição e dividem a oposição,Abril.com.br,2025-07-12T16:06:07Z,Pernambuco,"""Lula"" AND Brasil"
